,商品名称,商品编号,店铺,商品毛重,货号,芯片组,性能,质保期,显存容量,是否支持PCIE4.0,显存类型,接口,散热风扇,显存位宽,型号,灯效,品牌,流处理单元,核心品牌,核心频率,DirectX,电源接口,建议电源,显卡长度,商品产地,适用游戏,核心代号,芯片制程,是否支持显卡交火,风扇调速,散热器类型,产品尺寸（mm）,最大分辨率,显存频率,质保年限
0,NVIDIATeslaK80,1998157061,aaxon_us海外官方旗舰店,500.00g,HP/0017,NVIDIA,科学运算,1年质保,其他,不支持PCIE4.0,GDDR5,其他,无风扇,其他,其他,无光,其它,3584,NVIDIA,其他,最高支持DirectX12.1,其他,300W以上,32cm,,,,,,,,,,,
1,华硕（ASUS）RTX3080,10030907418146,华硕极客盟专卖店,3.5kg,,NVIDIA,,3年质保,10GB,支持PCIE4.0,GDDR6X,HDMI，DP,三风扇,256bit,RTX3080,RGB,华硕ASUS,,NVIDIA,其他,,8pinx2,700W以上,30cm,中国大陆,英雄联盟，孤岛惊魂4，吃鸡游戏,,,,,,,,,
2,七彩虹（Colorful）iGameGTX1650SUPER台式电脑主机游戏独立显卡战斧GTX16504GD6,67465427466,锐星电脑DIY旗舰店,1.0kg,,NVIDIA,游戏,3年质保,4GB,不支持PCIE4.0,GDDR5,PCI-E3.0,双风扇,128bit,其他,无光,七彩虹COLORFUL,16,NVIDIA,其他,最高支持DirectX10.0,6pinx1,400W以上,24cm,,英雄联盟,G80,7纳米,不支持显卡交火,不支持调速,风冷,,,,
3,微星RTX3080Ti,100022144710,,3.26kg,,NVIDIA,游戏，发烧,3年质保,12GB,支持PCIE4.0,GDDR6X,PCI-E4.0,三风扇,384bit,RTX3080Ti,RGB,微星MSI,,NVIDIA,其他,,8pin×3,700W以上,33.6cm,中国大陆,神作的终极形态,,,,,风冷,336*140*61,,,
4,华硕ROG-STRIX-RTX3080-O10G-V2-GAMING,100012117639,,2.44kg,,NVIDIA,,3年质保,10GB,支持PCIE4.0,GDDR6X,PCI-E4.0,三风扇,320bit,RTX3080,RGB,华硕ASUS,,NVIDIA,其他,,8pin×3,700W以上,32cm,中国大陆,,,,,,,,,,
5,七彩虹（Colorful）GTX1660SUPER,10021834132969,七彩虹旗舰店,3.0kg,,NVIDIA,游戏，发烧，家用/办公,3年质保,6GB,不支持PCIE4.0,GDDR6,HDMI，DP，DVI,三风扇,192bit,GTX1660S,RGB,七彩虹COLORFUL,,NVIDIA,其他,最高支持DirectX10.0,8pinx1,400W以上,31cm,中国大陆,魔兽世界，穿越火线，吃鸡游戏,,,不支持显卡交火,支持调速,风冷,长222mm；宽126mm；高42mm,7680*4320,,
6,技嘉AORUSRTX3090XTREME/MASTER/GAMINGOC/大雕/魔鹰/雪鹰显卡RTX3090XTREME-24G大雕,10023720424925,技嘉旗舰店,2.0kg,,NVIDIA,游戏，发烧，科学运算,3年质保,24GB,支持PCIE4.0,GDDR6X,PCI-E4.0,三风扇,384bit,其他,RGB,技嘉GIGABYTE,,NVIDIA,其他,,8pinx2,700W以上,30cm,,英雄联盟，吃鸡游戏，GTA5,,8纳米,支持显卡交火,支持调速,风冷,,,,
7,华硕TUF-RX6900XT-O16G-GAMING,100017819882,,2.32kg,,AMD芯片,,3年质保,16GB,支持PCIE4.0,GDDR6,HDMI，DP,三风扇,256bit,其他,RGB,,,AMD,其他,,8pinx2,700W以上,32cm,中国大陆,魔兽世界，剑网3，吃鸡游戏,,,,,,32x14.02x5.78厘米,,,
8,微星微星（MSI）GeForceRTX3090SUPRIMX24G,100016672406,,3.1kg,,NVIDIA,游戏，发烧,3年质保,24GB,支持PCIE4.0,GDDR6X,HDMI，DP,三风扇,384bit,RTX3090,RGB,微星MSI,,NVIDIA,其他,,8pin×3,850W以上,33.6cm,中国大陆,神作的终极形态,,,,,,,,,
9,技嘉GV-N2060D6-6GD,100022009674,,0.82kg,,NVIDIA,游戏，家用/办公,3年质保,6GB,不支持PCIE4.0,GDDR6,PCI-E3.0,双风扇,192bit,RTX2060,无光,技嘉GIGABYTE,,NVIDIA,1680MHz,,8pinx1,500W以上,22.4cm,中国,英雄联盟，吃鸡游戏，DOTA2,,,,,风冷,H=41L=224W=121,7680x4320,1400MHz,
