,商品名称,商品编号,商品毛重,商品产地,电源尺寸,接线类型,电源功率,适用场景,转换效率,型号,输入电压,支持温控,额定功率,产品尺寸（mm）,产品净重（kg）,6pin PCI-E接口,峰值,支持宽幅,安全认证,质保期,店铺,风扇启停,品牌,类型,风扇,SATA接口数量,CPU 12V供电接口,D型4pin接口,8pin PCI-E接口,主电源接口,PFC,电源线长,货号
0,迎广CS700W,100001118824,1.98kg,中国大陆,小型电源（SFX）,全模组化,501W-700W,大型游戏/电竞，一般家用/办公,金牌（90%）,CS700,100-240Vac.50-60Hz,不支持温控,700W,100x125x63,1.9,4个,700W,支持宽幅,CCC认证；FCC认证；CE认证；TUV认证；CB认证,7年,,,,,,,,,,,,,
1,长城（GreatWall）GW-ATX850BL(盒线）,10034637011027,3.0kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞，矿机,金牌（90%）,GW-ATX850BL(盒线）,220V,支持温控,850W,,3,0个,,支持宽幅,CCC认证,7年,京会智显官方旗舰店,支持风扇启停,长城GreatWall,ATX电源,14cm,9个,2个,3个,6个,20+4pin,,,
2,金河田（Goldenfield）智能芯480/580/680/780GT电脑宽幅电源台式主机箱电源580GT(额定400W),10750174753,1.36kg,中国大陆,标准电源（ATX）,,301-500W,一般家用/办公,其他,,220v,,500W,,1.5,,,,,3年,赞达云商专营店,,金河田Goldenfield,ATX电源,12cm,,,,,20+4pin,被动式PFC,,
3,美商艾湃电竞（Apexgaming）金牌全模组电源全日系电容14cm静音风扇台式机电源AJ-750M额定750W旗舰型金牌全模组,10029259179987,1.0kg,,标准电源（ATX）,全模组化,501W-700W,,金牌（90%）,,100-240Vac,支持温控,750W,长160mm；宽150mm；高86mm,160x150x86mm,,,支持宽幅,CCC认证；FCC认证；CE认证；CB认证,10年,高德伟业电脑专营店,,,ATX电源,,,,,,,主动式PFC,300-445mm,
4,华硕ROGSTRIX850W,100013110014,3.28kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞，一般家用/办公,金牌（90%）,ROG-STRIX-850G,100~240v,支持温控,850W,,1.82KG,6个,850W,支持宽幅,CCC认证；FCC认证；CE认证；RoHS认证,10年,,支持风扇启停,,ATX电源,13.5cm,8个,2个,3个,6个,20+4pin,主动式PFC,1.5米,
5,鑫谷核动力-超级战舰F7,953441,1.75kg,中国大陆,标准电源（ATX）,非模组化,301-500W,一般家用/办公,其他,核动力-超级战舰F7,150-240V,支持温控,500W,150*140*85mm,1.42KG,,600W,支持宽幅,CCC认证,3年,,,鑫谷Segotep,ATX电源,12cm,7个,1个,2个,2个,20+4pin,主动式PFC,主板24（20+4）PIN线材长度650mm，CPU8（4+4）PIN线材长度750mm，显卡8（6+2）PIN线材长度650mm，其他线材500mm以上，支持全塔背线,
6,长城G7GW-ATX750BL,8025804,2.84kg,深圳,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,G7GW-ATX750BL,100-240V,支持温控,750W,150X160X86,净重2.82kg,0个,850W,支持宽幅,CCC认证,7年,,不支持风扇启停,长城GreatWall,ATX电源,14cm,9个,2个,3个,6个,20+4pin,主动式PFC,1.5M,6.92E+12
7,美商海盗船RM650X/750X/850X/1000X主机电脑ATX台式静音金牌全模组电源RM650x金牌全模组额定650W,11190461034,1.5kg,中国大陆,标准电源（ATX）,全模组化,501W-700W,大型游戏/电竞，一般家用/办公,金牌（90%）,RM650/750/850/1000,100-240V,支持温控,750W,160mmx150mmx86mm,1.525kg,2个,,支持宽幅,CCC认证,10年,灵竞DIY旗舰店,支持风扇启停,海盗船CORSAIR,ATX电源,13.5cm,9个,2个,8个,4个,20+4pin,主动式PFC,610mm,
8,长城（GreatWall）G13金牌全模组,10031998752332,2.92kg,中国大陆,标准电源（ATX）,全模组化,900W以上,大型游戏/电竞，矿机,金牌（90%）,G13金牌全模组,100-240V,支持温控,1300W,长150mm；宽150mm；高86mm,2.3,,,支持宽幅,CCC认证,7年,长城浩鼎伟业专卖店,支持风扇启停,长城GreatWall,ATX电源,14cm,9个,2个,3个,,20+4pin,主动式PFC,1.5M,
9,美商海盗船（USCORSAIR）RM650X/RM750X/RM850X/RM1000X金牌/全模组额定650WRM650X金牌全模组,12735082432,1.672kg,中国大陆,标准电源（ATX）,全模组化,501W-700W,大型游戏/电竞，一般家用/办公,金牌（90%）,RM550X,100-240V,支持温控,550W,长160mm；宽150mm；高86mm,2,4个,,支持宽幅,CCC认证,10年,世纪浩翔旗舰店,支持风扇启停,海盗船CORSAIR,ATX电源,14cm,4个,2个,3个,2个,24pin,主动式PFC,140mm,
