,商品名称,商品编号,商品毛重,商品产地,货号,NVMe读速,容量,接口,系列,型号,品牌,顺序写入,顺序读速,闪存类型,缓存,保存温度,工作温度,产品尺寸（mm）,TBW,店铺
0,三星980,100018768506,79.00g,中国/韩国/泰国,MZ-V8V1T0BW,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),980,MZ-V8V1T0BW,三星(SAMSUNG),3000MB/s,3500MB/s,TLC,无缓存,-40~85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,600TBW,
1,西部数据WDS100T2B0C,100005926991,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,960GB-1TB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS100T2B0C,西部数据（WesternDigital）,1950MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,600TBW,
2,英特尔IntelD3S4510企业级SSD固态硬盘M.2/2280+2.5SATA3S4510/480GB,58425426893,100.00g,中国大陆,,,(480-512)GB,SATA接口,S4510,S4510,其它,490MB/s,560MB/s,TLC,无缓存,0-70,0-70,长145mm；宽115mm；高112mm,900TBW,英特尔集宇专卖店
3,西部数据WDS100T2B0C,100005926991,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,960GB-1TB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS100T2B0C,西部数据（WesternDigital）,1950MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,600TBW,
4,西部数据（WesternDigital）Gen4技术WD_BLACKSN850NVMeSN8502TB,10025455018857,1.0kg,,,4500MB/s及以上,2TB及以上,M.2接口(NVMe协议),WD_BLACK系列,WDS200T1X0E,西部数据（WesternDigital）,5100MB/s,7000MB/s,TLC,512M,-55oCto85oC,0oCto70oC,长80mm；宽22mm；高3mm,,西部数码IT专营店
5,,100023397134,,,,,,,,,,,,,,,,,,
6,西部数据WDS100T2B0C,100005926991,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,960GB-1TB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS100T2B0C,西部数据（WesternDigital）,1950MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,600TBW,
7,西部数据WDS100T1B0E-00B3V0,100025295846,50.00g,泰国、马来西亚、中国,,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),WD_BLACK系列,WDS100T1B0E-00B3V0,西部数据（WesternDigital）,2830MB/s,3600MB/s,TLC,无缓存,-55oC到85oC,0oC到70oC,长80mm；宽22mm；高2.38mm,600TBW,
8,三星（SAMSUNG）970EVOPlus/980PROM2固态硬盘NVMe台式机/笔记本电脑970EVOPlus250G,11120985224,60.00g,,,3000-4500MB/s,(240-256)GB,M.2接口(NVMe协议),970EVOPlus,MZ-V7S250B,,2300MB/s,3500MB/s,,,-40~85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,,存储先锋旗舰店
9,西部数据WDS100T2B0C,100005926991,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,960GB-1TB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS100T2B0C,西部数据（WesternDigital）,1950MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,600TBW,
10,WDKSTPM981A,10020515758539,300.00g,,PCIE,2000-3000MB/s,其他,M.2接口(NVMe协议),,,,,,TLC,512M,-45°Cto85°C,0-70℃运行温度,80.15x22.15x2.38(mm),,WDKST旗舰店
